state,st_abbr,fipsst,year,max_bft_3,notes
Wisconsin,WI,55,2020,608,
Wisconsin,WI,55,2021,608,
Wyoming,WY,56,2001,340,
Wyoming,WY,56,2003,340,
Wyoming,WY,56,2005,340,
Wyoming,WY,56,2007,340,
Wyoming,WY,56,2009,546,
Wyoming,WY,56,2011,577,
Wyoming,WY,56,2013,602,
Wyoming,WY,56,2015,635,
Wyoming,WY,56,2016,652,
Wyoming,WY,56,2017,657,
Wyoming,WY,56,2018,660,
Wyoming,WY,56,2019,675,
Wyoming,WY,56,2020,697,
Wyoming,WY,56,2021,712,
